root_id,upstream_set_3_PSO_SAs,set_3_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940631179831,5,38,1,DA,right,1792.0,396.0,local,0
720575940631299090,10,345,1,ACH,right,1547.0,1852.0,local,0
720575940631319311,1,5,1,ACH,right,1491.0,1704.0,local,0
720575940631365340,2,54,1,GABA,right,1217.0,1207.0,local,0
720575940631366061,1,5,1,GLUT,left,253.0,200.0,projection,200
720575940631999080,3,95,1,GLUT,right,1464.0,1722.0,local,0
720575940632028216,3,79,1,GABA,right,1434.0,665.0,local,0
720575940632118156,4,50,1,ACH,right,1428.0,1722.0,local,0
720575940632274914,2,10,1,GABA,left,352.0,508.0,local,0
720575940632304711,2,53,1,GLUT,right,1150.0,1545.0,local,0
720575940632602532,9,156,1,ACH,left,1942.0,2341.0,local,0
720575940632640287,1,7,1,ACH,right,388.0,1307.0,local,0
720575940632727756,7,86,1,ACH,left,796.0,1762.0,local,0
720575940632839763,2,15,1,ACH,left,988.0,1029.0,local,0
720575940633213792,4,68,1,GABA,left,537.0,737.0,local,0
720575940633315921,2,17,1,GLUT,right,292.0,456.0,local,0
720575940633373651,7,40,1,ACH,right,1800.0,1017.0,local,0
720575940633762714,3,129,1,GLUT,left,1020.0,647.0,local,0
720575940633941293,3,31,1,GLUT,left,2300.0,1576.0,local,0
720575940634105439,2,25,1,ACH,left,367.0,436.0,local,0
720575940634645600,4,33,1,ACH,left,1289.0,1941.0,local,0
720575940635202155,22,350,1,ACH,right,1574.0,2137.0,local,0
720575940635212143,4,109,1,GABA,right,333.0,582.0,local,0
720575940635239672,11,178,1,SER,right,1855.0,56.0,projection,13
720575940635297911,17,422,1,ACH,left,1430.0,1841.0,local,0
720575940635360924,12,116,1,ACH,right,1919.0,1263.0,local,0
720575940635625367,8,129,1,ACH,right,395.0,456.0,local,0
720575940635751269,3,35,1,ACH,left,183.0,396.0,local,0
720575940635816926,7,119,1,ACH,right,725.0,269.0,local,0
720575940636165624,12,144,1,ACH,left,3318.0,1190.0,local,0
720575940636895406,7,89,1,SER,left,1814.0,77.0,projection,16
720575940637936710,1,10,1,,right,546.0,2064.0,local,0
720575940638125887,1,6,1,GLUT,left,288.0,443.0,local,0
720575940638360960,1,7,1,ACH,right,191.0,335.0,local,0
720575940638604915,2,22,1,ACH,left,1440.0,1086.0,local,0
720575940638714694,5,43,1,ACH,left,1430.0,2921.0,local,0
720575940639339829,11,124,1,ACH,right,1507.0,1362.0,local,0
720575940639756093,9,150,1,GABA,left,805.0,1702.0,local,0
720575940639769715,4,76,1,GABA,left,1786.0,1433.0,local,0
720575940639773091,2,21,1,GLUT,right,163.0,1003.0,local,0
720575940639787683,1,8,1,GABA,left,1041.0,1047.0,local,0
720575940639831459,2,24,1,ACH,left,1241.0,1487.0,local,0
720575940639972816,2,32,1,,left,253.0,300.0,local,0
720575940640163517,1,5,1,ACH,right,35.0,104.0,local,0
720575940640224640,9,104,1,ACH,right,282.0,356.0,local,0
720575940641648091,2,10,1,ACH,left,3724.0,2048.0,local,0
720575940641776032,1,5,1,ACH,left,431.0,323.0,local,0
720575940642422517,1,11,1,ACH,right,491.0,959.0,local,0
720575940642428045,4,58,1,ACH,left,1363.0,1055.0,local,0
720575940643867296,10,854,1,GABA,left,7118.0,5624.0,local,0
720575940644464544,2,17,1,ACH,right,806.0,706.0,local,0
720575940644669732,1,6,1,ACH,left,646.0,1271.0,local,0
720575940645039383,7,165,1,GABA,right,1092.0,1276.0,local,0
720575940645527918,4,57,1,ACH,right,6765.0,27.0,local,0
720575940646930996,2,60,1,GABA,right,1131.0,1016.0,local,0
720575940647030580,4,39,1,ACH,right,722.0,1565.0,local,0
720575940647036980,6,76,1,ACH,left,1830.0,2227.0,local,0
720575940649081465,3,20,1,ACH,right,1070.0,828.0,local,0
720575940651736566,1,8,1,GABA,right,487.0,955.0,local,0
720575940659479937,2,20,1,GLUT,left,70.0,105.0,local,0
720575940660219265,1,6,1,,right,5356.0,0.0,local,0
