root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940609939780,15,482,1,482,100.0,32.13333333333333,local,0
720575940609941145,3,49,1,49,100.0,16.333333333333332,projection,94
720575940609970090,1,14,1,14,100.0,14.0,projection,354
720575940610000964,18,1843,1,1843,100.0,102.38888888888889,local,0
720575940610001220,11,705,1,705,100.0,64.0909090909091,local,0
720575940610004437,5,138,1,138,100.0,27.6,local,0
720575940610005828,4,85,1,85,100.0,21.25,projection,49
720575940610054980,12,723,1,723,100.0,60.25,local,0
720575940610079957,8,417,1,417,100.0,52.125,projection,63
720575940610103906,1,12,1,12,100.0,12.0,local,0
720575940610173048,15,577,1,577,100.0,38.46666666666667,local,0
720575940610209378,1,44,1,44,100.0,44.0,projection,864
720575940610215637,1,18,1,18,100.0,18.0,projection,121
720575940610224738,1,35,1,35,100.0,35.0,projection,330
720575940610232274,18,886,1,886,100.0,49.22222222222222,local,0
720575940610254810,1,21,1,21,100.0,21.0,projection,50
720575940610259370,1,85,1,85,100.0,85.0,local,0
720575940610259406,2,285,1,285,100.0,142.5,local,0
720575940610296622,3,55,1,55,100.0,18.333333333333332,local,0
720575940610304610,1,36,1,36,100.0,36.0,projection,383
720575940610355882,1,10,1,10,100.0,10.0,projection,100
720575940610381778,3,122,1,122,100.0,40.666666666666664,projection,61
720575940610384281,2,12,1,12,100.0,6.0,projection,158
720575940610409170,1,13,1,13,100.0,13.0,projection,304
720575940610427512,1,25,1,25,100.0,25.0,projection,140
720575940610457457,4,62,1,62,100.0,15.5,projection,59
720575940610469422,1,48,1,48,100.0,48.0,projection,47
720575940610474610,2,255,1,255,100.0,127.5,local,0
720575940610479811,2,50,1,50,100.0,25.0,projection,305
720575940610481370,2,445,1,445,100.0,222.5,local,0
720575940610482883,5,211,1,211,100.0,42.2,local,0
720575940610483162,3,1161,1,1161,100.0,387.0,local,0
720575940610491694,1,33,1,33,100.0,33.0,projection,602
720575940610530606,1,5,1,5,100.0,5.0,projection,3506
720575940610537170,1,15,1,15,100.0,15.0,projection,1438
720575940610548337,1,24,1,24,100.0,24.0,projection,192
720575940610584945,11,353,1,353,100.0,32.09090909090909,local,0
720575940610588057,5,57,1,57,100.0,11.4,local,0
720575940610594766,4,47,1,47,100.0,11.75,local,0
720575940610604334,2,52,1,52,100.0,26.0,projection,24
720575940610606126,5,964,1,964,100.0,192.8,local,0
720575940610611246,15,1967,1,1967,100.0,131.13333333333333,local,0
720575940610615013,3,102,1,102,100.0,34.0,local,0
720575940610623658,4,116,1,116,100.0,29.0,projection,6
720575940610649442,3,165,1,165,100.0,55.0,local,0
720575940610677828,1,14,1,14,100.0,14.0,local,0
720575940610683315,5,1199,1,1199,100.0,239.8,local,0
720575940610694098,5,150,1,150,100.0,30.0,projection,586
720575940610698052,7,247,1,247,100.0,35.285714285714285,projection,300
720575940610708430,9,353,1,353,100.0,39.22222222222222,projection,1201
720575940610741880,2,23,1,23,100.0,11.5,projection,1104
720575940610763874,6,410,1,410,100.0,68.33333333333333,projection,272
720575940610773090,6,848,1,848,100.0,141.33333333333334,local,0
720575940610803554,2,29,1,29,100.0,14.5,projection,147
720575940610846306,1,14,1,14,100.0,14.0,projection,39
720575940610847973,2,85,1,85,100.0,42.5,local,0
720575940610861554,5,56,1,56,100.0,11.2,projection,25
720575940610895474,1,5,1,5,100.0,5.0,local,0
720575940610896338,1,6,1,6,100.0,6.0,projection,107
720575940610899666,5,151,1,151,100.0,30.2,projection,4262
720575940610916194,2,10,1,10,100.0,5.0,projection,272
720575940610956334,3,102,1,102,100.0,34.0,projection,1403
720575940610959834,1,48,1,48,100.0,48.0,projection,21
720575940610979938,1,25,1,25,100.0,25.0,projection,128
720575940610980118,1,13,1,13,100.0,13.0,projection,351
720575940610981362,19,4515,1,4515,100.0,237.6315789473684,local,0
720575940610983321,1,57,1,57,100.0,57.0,projection,38
720575940610986006,12,651,1,651,100.0,54.25,local,0
720575940611015122,7,210,1,210,100.0,30.0,local,0
720575940611018714,2,298,1,298,100.0,149.0,local,0
720575940611086286,1,12,1,12,100.0,12.0,projection,842
720575940611090244,2,39,1,39,100.0,19.5,projection,3162
720575940611106453,3,165,1,165,100.0,55.0,local,0
720575940611128782,4,436,1,436,100.0,109.0,projection,937
720575940611134414,1,21,1,21,100.0,21.0,projection,139
720575940611139733,1,8,1,8,100.0,8.0,projection,1721
720575940611142323,1,22,1,22,100.0,22.0,local,0
720575940611151406,2,49,1,49,100.0,24.5,local,0
720575940611156978,1,14,1,14,100.0,14.0,projection,25
720575940611157746,7,531,1,531,100.0,75.85714285714286,local,0
720575940611160930,23,1774,1,1774,100.0,77.1304347826087,projection,394
720575940611164770,9,1053,1,1053,100.0,117.0,projection,1481
720575940611167842,6,264,1,264,100.0,44.0,local,0
720575940611168921,3,413,1,413,100.0,137.66666666666666,local,0
720575940611169242,1,5,1,5,100.0,5.0,projection,148
720575940611184819,5,471,1,471,100.0,94.2,local,0
720575940611211417,12,3436,1,3436,100.0,286.3333333333333,local,0
720575940611248662,5,146,1,146,100.0,29.2,local,0
720575940611292622,1,124,1,124,100.0,124.0,projection,2038
720575940611298522,5,115,1,115,100.0,23.0,projection,94
