root_id,upstream_set_1_2Ns,set_1_syn_count,const,input_synapses,pct_set_1_input,avg_upstream_synapses
720575940616056114,1,5,1,5,100.0,5.0
720575940616065254,5,67,1,67,100.0,13.4
720575940616067890,2,39,1,39,100.0,19.5
720575940616071483,1,8,1,8,100.0,8.0
720575940616072221,1,12,1,12,100.0,12.0
720575940616153371,4,69,1,69,100.0,17.25
720575940616162866,9,303,1,303,100.0,33.666666666666664
720575940616163701,1,8,1,8,100.0,8.0
720575940616167218,1,10,1,10,100.0,10.0
720575940616194610,7,227,1,227,100.0,32.42857142857143
720575940616196539,2,30,1,30,100.0,15.0
720575940616200790,6,185,1,185,100.0,30.833333333333332
720575940616264788,1,12,1,12,100.0,12.0
720575940616286395,1,24,1,24,100.0,24.0
720575940616298171,8,367,1,367,100.0,45.875
720575940616308921,2,21,1,21,100.0,10.5
720575940616317211,1,40,1,40,100.0,40.0
720575940616328705,4,92,1,92,100.0,23.0
720575940616344379,1,7,1,7,100.0,7.0
720575940616483414,1,5,1,5,100.0,5.0
720575940616562150,2,132,1,132,100.0,66.0
720575940616597334,4,187,1,187,100.0,46.75
720575940616615453,1,5,1,5,100.0,5.0
720575940616616861,6,451,1,451,100.0,75.16666666666667
720575940616667186,3,206,1,206,100.0,68.66666666666667
720575940616777105,1,20,1,20,100.0,20.0
720575940616829401,1,5,1,5,100.0,5.0
720575940616840665,1,15,1,15,100.0,15.0
720575940616848214,5,343,1,343,100.0,68.6
720575940616851030,2,83,1,83,100.0,41.5
720575940616864217,2,292,1,292,100.0,146.0
720575940616899033,1,24,1,24,100.0,24.0
720575940616971035,2,90,1,90,100.0,45.0
720575940617031385,2,94,1,94,100.0,47.0
720575940617121819,4,652,1,652,100.0,163.0
720575940617151266,4,143,1,143,100.0,35.75
720575940617239197,2,103,1,103,100.0,51.5
720575940617296029,1,45,1,45,100.0,45.0
720575940617299515,6,216,1,216,100.0,36.0
720575940617335382,4,173,1,173,100.0,43.25
720575940617369117,1,20,1,20,100.0,20.0
720575940617398502,1,12,1,12,100.0,12.0
720575940617433830,2,63,1,63,100.0,31.5
720575940617443001,1,8,1,8,100.0,8.0
720575940617448331,1,7,1,7,100.0,7.0
720575940617461204,1,9,1,9,100.0,9.0
720575940617488477,14,796,1,796,100.0,56.857142857142854
720575940617494877,4,117,1,117,100.0,29.25
720575940617497413,1,24,1,24,100.0,24.0
720575940617539355,1,96,1,96,100.0,96.0
720575940617568697,2,37,1,37,100.0,18.5
720575940617591687,1,15,1,15,100.0,15.0
720575940617593233,1,40,1,40,100.0,40.0
720575940617630182,1,28,1,28,100.0,28.0
720575940617636725,8,505,1,505,100.0,63.125
720575940617648453,3,275,1,275,100.0,91.66666666666667
720575940617663537,2,44,1,44,100.0,22.0
720575940617671285,1,20,1,20,100.0,20.0
720575940617678566,13,946,1,946,100.0,72.76923076923077
720575940617688093,1,24,1,24,100.0,24.0
720575940617690658,1,15,1,15,100.0,15.0
720575940617691170,2,92,1,92,100.0,46.0
720575940617755220,4,297,1,297,100.0,74.25
720575940617787963,16,941,1,941,100.0,58.8125
720575940617828766,3,588,1,588,100.0,196.0
720575940617833265,2,74,1,74,100.0,37.0
720575940617835313,1,5,1,5,100.0,5.0
720575940617853986,1,7,1,7,100.0,7.0
720575940617854676,10,354,1,354,100.0,35.4
720575940617950877,3,90,1,90,100.0,30.0
720575940617986683,1,21,1,21,100.0,21.0
720575940618025199,2,280,1,280,100.0,140.0
720575940618029733,2,104,1,104,100.0,52.0
720575940618043806,1,30,1,30,100.0,30.0
720575940618054981,1,5,1,5,100.0,5.0
720575940618118485,8,318,1,318,100.0,39.75
720575940618135419,1,7,1,7,100.0,7.0
720575940618142513,1,18,1,18,100.0,18.0
720575940618165019,5,1193,1,1193,100.0,238.6
720575940618165393,2,28,1,28,100.0,14.0
720575940618165787,11,465,1,465,100.0,42.27272727272727
720575940618166811,16,775,1,775,100.0,48.4375
720575940618325302,1,11,1,11,100.0,11.0
720575940618385718,3,114,1,114,100.0,38.0
720575940618472261,4,230,1,230,100.0,57.5
720575940618514043,2,87,1,87,100.0,43.5
720575940618519454,1,21,1,21,100.0,21.0
720575940618529217,1,24,1,24,100.0,24.0
720575940618539810,5,820,1,820,100.0,164.0
