root_id,upstream_set_6_2Ns,set_6_syn_count,const,input_synapses_x,%_set_6_input,input_synapses_y,input_synapses,pct_set_6_input,avg_upstream_synapses
720575940627371834,1,5,1,5,100.0,5,0,0.0,5.0
720575940627404858,1,6,1,6,100.0,6,0,0.0,6.0
720575940627419962,1,12,1,12,100.0,12,0,0.0,12.0
720575940627443996,1,6,1,6,100.0,6,0,0.0,6.0
720575940627463043,1,40,1,40,100.0,40,0,0.0,40.0
720575940627667530,1,240,1,240,100.0,240,0,0.0,240.0
720575940627704392,2,39,1,39,100.0,39,0,0.0,19.5
720575940627739023,1,18,1,18,100.0,18,0,0.0,18.0
720575940627814728,3,67,1,67,100.0,67,0,0.0,22.333333333333332
720575940627828040,3,494,1,494,100.0,494,0,0.0,164.66666666666666
720575940627828296,7,256,1,256,100.0,256,0,0.0,36.57142857142857
