pre_root_id,post_root_id,syn_count,origin_set
720575940611548878,720575940622493260,81,set_6
720575940611548878,720575940623149581,15,set_6
720575940611548878,720575940625874992,42,set_6
720575940611548878,720575940626163658,114,set_6
720575940611548878,720575940627062088,18,set_6
720575940611548878,720575940628463042,42,set_6
720575940611548878,720575940628780309,252,set_6
720575940611548878,720575940629024591,39,set_6
720575940611548878,720575940629778554,15,set_6
720575940611548878,720575940629804158,15,set_6
720575940611548878,720575940630159616,51,set_6
720575940611548878,720575940630233404,672,set_6
720575940611548878,720575940631280721,51,set_6
720575940611548878,720575940632281927,63,set_6
720575940611548878,720575940633065901,78,set_6
720575940611548878,720575940633213792,30,set_6
720575940611548878,720575940636165624,321,set_6
720575940611548878,720575940637656286,57,set_6
720575940611548878,720575940638714694,117,set_6
720575940611548878,720575940639206077,27,set_6
720575940611548878,720575940639787683,36,set_6
720575940611548878,720575940640162944,18,set_6
720575940611548878,720575940641655949,111,set_6
720575940611548878,720575940643867296,33,set_6
720575940611548878,720575940644666148,138,set_6
720575940611548878,720575940645527918,600,set_6
720575940611548878,720575940646274670,462,set_6
720575940611548878,720575940647036980,600,set_6
720575940611548878,720575940661338497,24,set_6
720575940612289010,720575940615824011,5,set_6
720575940612289010,720575940621633683,15,set_6
720575940612289010,720575940622319715,7,set_6
720575940612289010,720575940624987394,7,set_6
720575940612289010,720575940625137497,5,set_6
720575940612289010,720575940626308697,7,set_6
720575940612289010,720575940630157643,7,set_6
720575940612289010,720575940630504466,9,set_6
720575940612289010,720575940630620207,6,set_6
720575940612289010,720575940632879842,10,set_6
720575940612289010,720575940633715831,5,set_6
720575940612606105,720575940607377586,20,set_6
720575940612606105,720575940614714514,28,set_6
720575940612606105,720575940615197747,336,set_6
720575940612606105,720575940616014092,48,set_6
720575940612606105,720575940616791709,24,set_6
720575940612606105,720575940617678566,348,set_6
720575940612606105,720575940617787963,300,set_6
720575940612606105,720575940618165019,44,set_6
720575940612606105,720575940618539810,840,set_6
720575940612606105,720575940619624795,44,set_6
720575940612606105,720575940620170887,52,set_6
720575940612606105,720575940620182151,32,set_6
720575940612606105,720575940621047632,240,set_6
720575940612606105,720575940621833281,392,set_6
720575940612606105,720575940622026245,20,set_6
720575940612606105,720575940622074206,32,set_6
720575940612606105,720575940622493260,24,set_6
720575940612606105,720575940622810153,80,set_6
720575940612606105,720575940623133223,20,set_6
720575940612606105,720575940623149581,156,set_6
720575940612606105,720575940623535044,20,set_6
720575940612606105,720575940624289789,88,set_6
720575940612606105,720575940625045180,108,set_6
720575940612606105,720575940625164176,32,set_6
720575940612606105,720575940625874992,64,set_6
720575940612606105,720575940626163658,164,set_6
720575940612606105,720575940627206074,52,set_6
720575940612606105,720575940627312668,40,set_6
720575940612606105,720575940627359109,124,set_6
720575940612606105,720575940627828296,20,set_6
720575940612606105,720575940628463042,68,set_6
720575940612606105,720575940628598121,20,set_6
720575940612606105,720575940628644218,20,set_6
720575940612606105,720575940628743752,32,set_6
720575940612606105,720575940628780309,376,set_6
720575940612606105,720575940629024591,44,set_6
720575940612606105,720575940630233404,568,set_6
720575940612606105,720575940630654539,24,set_6
720575940612606105,720575940631994728,28,set_6
720575940612606105,720575940632118156,28,set_6
720575940612606105,720575940632134227,32,set_6
720575940612606105,720575940632281927,72,set_6
720575940612606105,720575940633129171,100,set_6
720575940612606105,720575940633129683,100,set_6
720575940612606105,720575940633895469,104,set_6
720575940612606105,720575940636165624,200,set_6
720575940612606105,720575940638714694,84,set_6
720575940612606105,720575940639769715,68,set_6
720575940612606105,720575940645527918,404,set_6
720575940612606105,720575940646039092,60,set_6
720575940612606105,720575940646930996,24,set_6
720575940612606105,720575940647036980,76,set_6
720575940612606105,720575940649081465,44,set_6
720575940612606105,720575940650760825,136,set_6
720575940612606105,720575940661338497,44,set_6
720575940612686233,720575940605890784,42,set_6
720575940612686233,720575940607377586,86,set_6
720575940612686233,720575940608500316,34,set_6
720575940612686233,720575940608735241,14,set_6
720575940612686233,720575940609922372,10,set_6
720575940612686233,720575940611436408,18,set_6
720575940612686233,720575940612354034,20,set_6
