root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,in_question
720575940622606106,[],GNG.1131,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,14,1170,
720575940611056482,[],GNG.2069,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,109,319,
720575940636943849,[],GNG.2133,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,78,243,
720575940636542565,[],GNG.1993,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],right,111,362,
720575940618889931,[],GNG.3323,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],right,122,15,
720575940611630194,[],GNG.1750,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['feedforward_loop_participant'; 'reciprocal'],left,165,1085,
720575940640554045,[],GNG.1469,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,161,482,
720575940632596449,[],GNG.1298,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,194,731,
720575940616934289,[],GNG.1540,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,180,504,
720575940637019994,[],GNG.1479,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,180,499,
720575940613004402,['proboscis sensory neuron'],GNG.1409,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,254,708,
720575940605682790,[],GNG.1296,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,294,991,
720575940627107271,[],PRW.GNG.30,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,250,741,
720575940631462969,[],PRW.444,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_4,[],left,0,16,
